"date_time","uni_meteo"
2022-12-20 13:00:00,10.72778
2022-12-20 14:00:00,12.93769
2022-12-20 15:00:00,14.04114
2022-12-20 16:00:00,13.47233
2022-12-20 17:00:00,11.72104
2022-12-20 18:00:00,10.77577
2022-12-20 19:00:00,9.790984
2022-12-20 20:00:00,9.506657
2022-12-20 21:00:00,9.369766
2022-12-20 22:00:00,9.154654
2022-12-20 23:00:00,9.232674
2022-12-21 00:00:00,9.319796
2022-12-21 01:00:00,10.36825
2022-12-21 02:00:00,11.435
2022-12-21 03:00:00,11.59193
2022-12-21 04:00:00,11.44683
2022-12-21 05:00:00,11.50147
2022-12-21 06:00:00,11.29721
2022-12-21 07:00:00,10.74327
2022-12-21 08:00:00,11.33819
2022-12-21 09:00:00,12.02443
2022-12-21 10:00:00,11.28283
2022-12-21 11:00:00,11.72655
2022-12-21 12:00:00,12.26063
2022-12-21 13:00:00,13.18215
2022-12-21 14:00:00,12.74404
2022-12-21 15:00:00,13.08126
2022-12-21 16:00:00,12.91202
2022-12-21 17:00:00,12.4887
2022-12-21 18:00:00,12.49425
2022-12-21 19:00:00,12.35353
2022-12-21 20:00:00,12.16657
2022-12-21 21:00:00,12.33456
2022-12-21 22:00:00,12.67094
2022-12-21 23:00:00,13.23432
2022-12-22 00:00:00,13.20832
2022-12-22 01:00:00,12.88538
2022-12-22 02:00:00,12.18317
2022-12-22 03:00:00,12.09998
2022-12-22 04:00:00,12.69793
2022-12-22 05:00:00,13.29752
2022-12-22 06:00:00,13.17403
2022-12-22 07:00:00,12.9894
2022-12-22 08:00:00,12.85774
2022-12-22 09:00:00,12.50157
2022-12-22 10:00:00,11.96929
2022-12-22 11:00:00,11.91192
2022-12-22 12:00:00,12.30327
2022-12-22 13:00:00,12.24118
2022-12-22 14:00:00,12.47435
2022-12-22 15:00:00,11.83437
2022-12-22 16:00:00,11.5397
2022-12-22 17:00:00,12.07903
2022-12-22 18:00:00,12.35039
2022-12-22 19:00:00,12.3259
2022-12-22 20:00:00,12.8288
2022-12-22 21:00:00,11.79574
2022-12-22 22:00:00,11.08613
2022-12-22 23:00:00,11.10988
2022-12-23 00:00:00,12.06724
2022-12-23 01:00:00,12.71264
2022-12-23 02:00:00,13.10361
2022-12-23 03:00:00,13.48676
2022-12-23 04:00:00,13.68697
2022-12-23 05:00:00,13.8336
2022-12-23 06:00:00,13.78994
2022-12-23 07:00:00,13.7721
2022-12-23 08:00:00,13.76998
2022-12-23 09:00:00,13.92754
2022-12-23 10:00:00,13.45498
2022-12-23 11:00:00,13.62669
2022-12-23 12:00:00,13.44703
2022-12-23 13:00:00,13.51815
2022-12-23 14:00:00,14.12921
2022-12-23 15:00:00,14.27068
2022-12-23 16:00:00,14.31532
2022-12-23 17:00:00,14.35444
2022-12-23 18:00:00,14.30507
2022-12-23 19:00:00,14.1156
